id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
99e6a8e52,48000,787200,4800,3520.2263,60.199127,19687.5,0.087049864,5912.6904,2.1078014,5.9340887
5b0e3880f,48000,792000,4800,3201.1338,59.43,18909.375,0.11389507,5247.5093,2.3332727,7.329567
bcb61823a,48000,796800,4800,3859.1826,81.88212,19685.625,0.110189855,6181.3145,1.8588161,4.912438
602ada3ea,48000,801600,4800,4666.3677,72.02554,19680.0,0.15667991,6154.524,1.5189707,3.9685242
de14014f4,48000,806400,4800,4507.0547,87.274895,19671.562,0.16158062,5766.7314,1.6608155,4.765188
8ff05ae69,48000,811200,4800,3099.118,78.10049,18059.688,0.1211326,4965.353,2.378771,7.6817417
932d0f7dc,48000,816000,4800,3978.0813,106.347755,17553.75,0.15149768,4975.034,1.9108087,6.056668
fddbc2fcb,48000,820800,4800,4118.615,111.57488,19678.75,0.13119355,5616.578,1.8726665,5.401344
f4198340a,48000,825600,4800,3588.1243,118.483696,18944.062,0.12693869,5186.452,2.0928247,6.4824815
8e2bcd166,48000,830400,4800,2871.1694,124.99018,16484.062,0.11067462,4603.4473,2.5718307,9.05552
8c08140bc,48000,835200,4800,2561.2266,97.29084,16336.563,0.092822924,4689.702,2.7386022,9.760378
ab8eef652,48000,840000,4800,3994.7068,111.72699,19189.062,0.14860208,5649.3535,1.7647913,5.009352
a980df543,48000,844800,4800,3045.9033,174.19432,17209.688,0.11533938,4871.63,2.2865934,7.4771547
1b1656fb6,48000,849600,4800,3138.5037,113.38729,18234.062,0.10607973,4998.19,2.3182678,7.490353
d7528b6a4,48000,854400,4800,2589.3142,134.0093,14520.938,0.088338494,4420.875,2.7567716,10.141076
672f15d9c,48000,859200,4800,1910.0743,148.31592,8687.8125,0.074515074,3507.9397,3.4765148,15.914599
db787b5c4,48000,864000,4800,2319.0078,175.83159,12096.875,0.09272421,4155.676,2.9458933,11.481135
af88845d6,48000,868800,4800,2031.816,419.87283,11075.625,0.08656063,3963.6138,3.0774236,12.539725
1b151fe7f,48000,873600,4800,2200.0833,478.81845,14171.563,0.080185115,4385.436,3.0086884,11.491916
e186a738a,48000,878400,4800,2204.7188,218.545,13405.938,0.07454354,4267.224,3.1551116,12.497739
50ebad402,48000,883200,4800,2104.1294,226.5713,9522.1875,0.07345426,3902.7578,3.3232958,14.290885
2c6175d68,48000,888000,4800,2790.657,171.71873,16818.438,0.09745327,4725.8794,2.6600473,9.454292
0648e2be8,48000,892800,4800,2687.139,272.8594,19279.062,0.07875278,5013.431,2.6312532,8.878289
0b160bf1a,48000,897600,4800,2763.728,249.06825,19670.312,0.0721961,5185.7974,2.5995712,8.523981
24cd0a5cd,48000,902400,4800,2150.5786,821.088,14395.627,0.07238766,4482.0137,3.0316615,11.704081
6322e7154,48000,907200,4800,3160.7048,167.4094,19533.75,0.091172844,5545.535,2.2640495,6.895856
c77890fb9,48000,912000,4800,2960.4177,171.28343,19005.312,0.0901099,5084.6074,2.4896972,8.292755
022a04212,48000,916800,4800,1658.0641,1443.4836,9342.8125,0.04864711,3846.2876,3.854738,18.189144
b1a29c2a0,48000,921600,4800,1712.5781,1230.2748,9584.687,0.046517834,3959.046,3.7144027,16.637413
60d27229d,48000,926400,4800,1891.5663,1006.7608,11027.188,0.06600904,4089.9792,3.458636,15.298913
d9404efa7,48000,931200,4800,2588.5366,344.77032,16505.625,0.08425995,4869.6226,2.658743,9.43786
ad884ad8f,48000,936000,4800,3524.2222,246.93329,19453.75,0.08336633,5905.8433,2.0676627,5.9616656
0e8397b38,48000,940800,4800,3267.19,956.9686,17867.188,0.12518935,5196.774,2.0063167,6.090122
07d257819,48000,945600,4800,3386.1428,629.4364,19662.188,0.09864681,5723.553,2.0771656,6.0358014
f219d169a,48000,950400,4800,3464.2166,956.9891,19374.375,0.09825438,5790.691,2.0909793,6.3424115
8af714f32,48000,955200,4800,3981.3203,150.2936,19685.0,0.13118021,5979.8774,1.7563488,4.7612486
f8adb9803,48000,960000,4800,4069.8474,162.71109,19682.5,0.10964367,5982.9834,1.7751184,4.820642
8262ade2e,48000,964800,4800,3779.0884,165.62915,19184.375,0.13303305,5620.2056,1.8728696,5.3740563
01788fc35,48000,969600,4800,3297.1045,653.047,19665.625,0.098018214,5689.6284,2.1356583,6.358469
bd0415ff0,48000,974400,4800,2306.3638,419.4858,13560.001,0.074403785,4318.271,2.9964573,11.710552
f46b3a0ba,48000,979200,4800,2792.0396,239.02614,16837.5,0.10073093,4694.01,2.5351195,8.80105
eacd464ae,48000,984000,4800,2438.6343,412.49445,12822.5,0.10513923,4265.3486,2.6337757,9.7229395
b36e327d5,48000,988800,4800,1814.1942,809.6615,8416.5625,0.070160255,3605.5679,3.3913984,15.4822235
100837c53,48000,993600,4800,1999.9496,2366.9077,15003.437,0.044553153,4645.4526,3.2728326,13.371129
153582de4,48000,998400,4800,2477.7146,1090.1736,17217.5,0.060792167,5077.0835,2.7971876,9.977636
8ba23a1ad,48000,1003200,4800,3771.8416,635.14435,19692.5,0.08623717,6394.5464,1.8598857,4.9782853
cf7242e09,48000,1008000,4800,3662.3691,200.23242,19592.5,0.10347355,6031.2915,1.9312137,5.3502154
86d23cc22,48000,1012800,4800,4192.091,153.09273,19685.0,0.116070315,6246.9165,1.7474526,4.588177
c5deb1e30,48000,1017600,4800,2718.7913,1203.7842,16484.688,0.099721625,4835.305,2.4912753,8.522412
3cd67a22b,48000,1022400,4800,4125.434,413.17355,19347.812,0.13040479,5802.9326,1.7356708,4.8814335
41f1856a2,48000,1027200,4800,2140.8433,1608.0956,11509.0625,0.069023944,4082.1309,3.403242,15.670129
de76eb726,48000,1032000,4800,1546.8136,3611.613,8528.4375,0.045097418,3740.7017,3.8912077,18.408836
b8c7a5d4a,48000,1036800,4800,1804.119,2921.7788,8907.8125,0.06498052,3728.4924,3.5639257,16.52965
9371aad9a,48000,1041600,4800,2858.4304,289.7211,16406.562,0.0969652,4663.3276,2.4988294,8.694794
eda1a07c3,48000,1046400,4800,2275.9385,1703.6204,17112.5,0.06979922,4652.653,2.8533869,10.403668
5e155635c,48000,1051200,4800,1622.5005,1925.33,8254.375,0.061185602,3437.5916,3.8018603,19.152704
039b65244,48000,1056000,4800,1739.9652,1768.0663,9015.3125,0.060531106,3733.0803,3.646941,16.66269
4ce678d32,48000,1060800,4800,2236.3733,1105.2949,13127.187,0.078742035,4338.21,2.9972336,12.069555
244614495,48000,1065600,4800,2584.856,1323.2345,16007.812,0.09629067,4773.3296,2.492468,8.583099
09066b529,48000,1070400,4800,3219.1514,1397.4421,19273.438,0.101721525,5480.4067,2.1180823,6.422925
64c099357,48000,1075200,4800,3152.5007,310.53683,17789.377,0.11661049,5027.4873,2.2011425,7.04152
c9d200d7b,48000,1080000,4800,3060.969,186.3602,18616.875,0.10882912,4976.811,2.370742,7.7405143
67c59ba98,48000,1084800,4800,2560.3896,302.1912,15668.437,0.08151159,4488.2646,2.8487484,10.611191
9567ab4a0,48000,1089600,4800,2124.1292,197.3564,8416.5625,0.08249728,3436.488,3.380609,15.492991
cf6a618b1,48000,1094400,4800,2516.9695,110.86507,12176.25,0.083656944,3977.5837,3.03214,12.239502
4ff468056,48000,1099200,4800,2150.5466,673.68,10727.5,0.067785986,3817.9817,3.269507,14.276146
0deeee505,48000,1104000,4800,3373.5105,176.28159,19627.5,0.08616497,5444.4434,2.2943375,7.050231
d0f59f706,48000,1108800,4800,3432.4119,172.66443,19680.0,0.084836595,5613.3906,2.2133083,6.5693946
f60813ff5,48000,1113600,4800,2288.535,245.84651,11148.75,0.071454465,3947.3616,3.2763512,14.023932
5cb4fb9f2,48000,1118400,4800,2929.7595,164.32022,18190.625,0.080877356,4625.302,2.6969614,9.65511
d71501831,48000,1123200,4800,2658.6362,398.01395,19242.812,0.057476755,4809.3374,2.7864015,9.770025
accbc8985,48000,1128000,4800,3235.222,235.00276,19666.562,0.08138468,5431.705,2.3476527,7.203604
fd2ba470d,48000,1132800,4800,2122.6023,972.7081,11030.625,0.073314324,3976.17,3.2994695,13.895241
8475b7f4f,48000,1137600,4800,2009.021,871.94794,10002.5,0.06733241,3734.6963,3.538482,16.045244
8febb1397,48000,1142400,4800,2130.7034,780.5557,12381.562,0.060625132,4122.2485,3.3179317,13.6567545
afe9e45a3,48000,1147200,4800,2224.4307,412.06323,12719.0625,0.066346526,4147.12,3.2839925,13.352848
70e1683e4,48000,1152000,4800,2503.2197,213.60083,14472.187,0.07490163,4295.9385,3.0096607,11.746294
117e6b4aa,48000,1156800,4800,2325.2983,223.32735,10207.8125,0.074818976,3786.934,3.1917505,13.568106
0d22e8948,48000,1161600,4800,2612.5537,219.1944,12552.8125,0.09117063,4038.1987,2.9464674,11.829954
17d97f805,48000,1166400,4800,3028.0347,309.629,17120.938,0.08921548,4605.9175,2.6423957,9.406078
8e8f091d1,48000,1171200,4800,2803.6028,254.15411,12237.8125,0.083109476,4024.9182,2.885976,11.561716
8d493d44f,48000,1176000,4800,2342.5789,366.43765,9766.5625,0.08022237,3646.589,3.080374,13.311304
4b07ca88a,48000,1180800,4800,2596.693,247.45448,11080.3125,0.094321445,3831.2666,2.8326132,11.399302
a0a7e23e9,48000,1185600,4800,2840.9702,275.50714,15161.563,0.09330231,4420.947,2.681971,9.756644
6e62f189c,48000,1190400,4800,3054.1829,241.04639,18019.062,0.099069424,4780.3525,2.5013907,8.440076
dbd0b96e0,48000,1195200,4800,2658.3054,431.4364,15427.813,0.07796037,4450.412,2.817299,10.382651
04123c61f,48000,1200000,4800,2922.4666,211.4436,15893.75,0.08990585,4493.135,2.6681046,9.4866295
f9cc4b005,48000,1204800,4800,2880.7075,248.64821,15811.877,0.08826106,4482.027,2.7168355,9.808918
96cb03508,48000,1209600,4800,3013.776,205.16953,16434.375,0.09445782,4556.9424,2.5827897,9.070783
