index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
2990400,48000,4800,1480.4154,213.61406,6670.625,0.07524631,2795.3672,4.085044,24.161604,5fe753e9a
2995200,48000,4800,1117.6625,208.60735,5337.8125,0.05218605,2465.4922,4.669952,29.564882,c3fad6c14
3000000,48000,4800,898.57635,876.958,4057.8125,0.03855586,1910.7725,7.5141163,97.82015,77575f8c0
3004800,48000,4800,279.7741,145.83583,808.4375,0.007168717,986.63086,12.646992,208.45369,16cdc60cf
3009600,48000,4800,606.9364,1321.0573,3372.1875,0.02527353,1764.1271,5.8947673,48.71,267ec9e3b
3014400,48000,4800,1168.8354,3342.1978,5784.0625,0.048434265,2488.328,4.370193,28.750074,875236a5f
3019200,48000,4800,1701.918,1145.7212,7934.6875,0.070139565,3047.935,3.3683019,18.354342,f793fcc72
3024000,48000,4800,555.1079,145.56613,1675.3125,0.028569954,1997.4012,7.2424397,61.343178,aa7433097
3028800,48000,4800,884.1425,151.68596,4429.6875,0.0512704,2515.0022,5.349967,35.76264,34f71456e
3033600,48000,4800,833.4678,130.00069,3825.625,0.0377844,2081.5293,6.3531723,56.06544,568a0373e
3038400,48000,4800,786.70294,492.59964,3756.25,0.035000514,2031.3688,6.0489855,51.94086,8fdd8f38d
3043200,48000,4800,235.03485,802.72125,645.9375,0.0042478093,680.50903,16.086647,372.08118,84f938b0c
3048000,48000,4800,197.5113,196.45157,359.6875,0.003922843,686.78394,18.86191,460.64313,995c8e314
3052800,48000,4800,746.1937,799.687,3726.875,0.031754285,1832.3292,7.0492234,83.44675,d2155132e
3057600,48000,4800,1380.7906,263.81213,6271.25,0.06384456,2645.3157,4.3540883,28.729652,c39a12fd8
3062400,48000,4800,844.27844,234.52792,3262.1875,0.036740024,2097.102,6.247761,50.154797,894e7061a
3067200,48000,4800,1961.4225,460.96365,8022.1875,0.089655966,3158.465,3.5474308,19.552351,0af4300be
3072000,48000,4800,1919.4567,182.8716,8169.375,0.08917531,3022.8833,3.0454178,14.156434,55b45d2b7
3076800,48000,4800,600.59784,1398.1277,2306.875,0.022658208,1594.514,8.047214,88.790085,3388ec75c
3081600,48000,4800,654.655,527.08496,2457.5,0.028300857,1874.2683,7.266339,67.167656,b69f8ab82
3086400,48000,4800,1481.3597,802.6308,6075.0,0.05873089,2478.796,3.9288347,23.47115,30a5a2577
3091200,48000,4800,670.90924,417.11017,2897.1875,0.027488282,1795.646,6.705117,60.30561,9123a25d2
3096000,48000,4800,807.442,102.042175,3616.5625,0.037764657,2129.937,5.9386744,45.65028,da550c008
3100800,48000,4800,1198.0911,76.79411,5604.375,0.060919113,2735.5012,4.4437356,25.908459,1757190d1
